pair common_neigh jaccard pref_attach adamic sp_3 class
7-2051 0 0.0 1 0 0.0 0
363-849 26 0.0290827740492 24976 5.74803251622 3736.0 1
517-902 12 0.0487804878049 4541 2.67294059669 1151.0 1
8-2486 0 0.0 60 0 0.0 0
773-300 2 0.0119047619048 825 0.392132893125 348.0 1
1013-1975 24 0.134078212291 8580 5.248804908 1443.0 1
5-178 0 0.0 338 0 8.0 0
2-2689 0 0.0 67 0 4.0 0
7-996 0 0.0 1 0 0.0 0
411-743 2 0.0178571428571 945 0.36140421347 317.0 1
9-1643 0 0.0 67 0 0.0 0
1-1357 0 0.0 92 0 7.0 0
6-1676 0 0.0 1 0 0.0 0
5-2327 0 0.0 338 0 1.0 0
1072-466 23 0.0359937402191 23712 4.80327881614 3185.0 1
4-1450 7 0.0315315315315 1980 1.27441157561 543.0 0
341-219 1 0.00343642611684 580 0.166286558983 405.0 1
802-351 25 0.113636363636 9456 5.27284428933 2499.0 1
1025-2192 8 0.0655737704918 2376 1.77138086761 698.0 1
76-1900 11 0.0753424657534 1872 4.04461763206 327.0 1
2-1867 1 0.0113636363636 1474 0.328458738753 99.0 0
311-1015 25 0.112107623318 10335 5.16228998077 2152.0 1
4-781 1 0.00454545454545 220 0.244239336676 10.0 0
811-407 53 0.180887372014 29029 11.6347212006 5191.0 1
479-45 5 0.0119047619048 6544 0.890610775083 1313.0 1
216-363 6 0.006718924972 6244 1.186446658 1591.0 1
801-2017 5 0.0735294117647 780 1.02757995313 336.0 1
6-2813 0 0.0 1 0 1.0 0
4-2400 1 0.00431034482759 2860 0.24733794695 45.0 0
1-1493 0 0.0 69 0 1.0 0
331-106 37 0.060162601626 30651 8.27268810335 4661.0 1
6-1810 0 0.0 5 0 0.0 0
4-654 0 0.0 1980 0 18.0 0
3-1379 0 0.0 1 0 0.0 0
227-45 1 0.00242130750605 2045 0.183164087715 609.0 1
688-553 4 0.0248447204969 2516 0.712423327051 757.0 1
10-1549 0 0.0 6 0 0.0 0
4-2968 1 0.00454545454545 220 0.189279091124 42.0 0
1-946 1 0.0294117647059 276 0.185403977454 25.0 0
291-1084 7 0.0707070707071 1720 1.46114677101 597.0 1
8-2034 0 0.0 8 0 0.0 0
5-2529 2 0.0103092783505 4563 0.390028809263 95.0 0
886-875 24 0.122448979592 10804 4.6967212953 2588.0 1
7-1448 0 0.0 10 0 0.0 0
1024-802 44 0.163568773234 22852 9.47043328926 4744.0 1
