pair common_neigh jaccard pref_attach adamic sp_3 class
0-1 0 0.0 90 0 1.0 0
0-9 0 0.0 270 0 16.0 0
0-11 0 0.0 252 0 28.0 0
0-12 0 0.0 858 0 48.0 0
0-13 1 0.023255813953488372 228 0.21859304439100327 31.0 0
0-14 0 0.0 72 0 4.0 0
0-16 0 0.0 204 0 8.0 0
0-18 0 0.0 288 0 14.0 0
0-19 0 0.0 18 0 1.0 0
0-20 0 0.0 150 0 4.0 0
0-23 0 0.0 108 0 1.0 0
0-25 0 0.0 246 0 12.0 0
0-26 0 0.0 384 0 18.0 0
0-27 0 0.0 462 0 26.0 0
0-28 0 0.0 204 0 5.0 0
0-29 0 0.0 168 0 8.0 0
0-30 1 0.023255813953488372 228 0.21859304439100327 22.0 0
0-31 0 0.0 216 0 7.0 0
0-32 1 0.014925373134328358 372 0.21859304439100327 29.0 0
0-33 0 0.0 114 0 5.0 0
0-34 0 0.0 120 0 5.0 0
0-35 0 0.0 174 0 7.0 0
0-36 0 0.0 168 0 13.0 0
0-37 0 0.0 132 0 6.0 0
0-38 0 0.0 438 0 23.0 0
0-43 0 0.0 270 0 10.0 0
0-45 0 0.0 474 0 24.0 0
0-49 0 0.0 384 0 16.0 0
0-50 0 0.0 306 0 11.0 0
0-52 0 0.0 180 0 5.0 0
0-53 0 0.0 198 0 14.0 0
0-54 0 0.0 264 0 7.0 0
0-55 1 0.03571428571428571 138 0.5138983423697507 7.0 0
0-57 1 0.02 270 0.21859304439100327 26.0 0
0-58 0 0.0 144 0 9.0 0
0-60 0 0.0 36 0 1.0 0
0-61 0 0.0 534 0 23.0 0
0-64 0 0.0 78 0 2.0 0
0-68 0 0.0 270 0 10.0 0
0-69 0 0.0 684 0 17.0 0
0-70 0 0.0 858 0 40.0 0
0-71 0 0.0 90 0 1.0 0
0-72 0 0.0 606 0 13.0 0
0-73 0 0.0 594 0 11.0 0
0-74 1 0.007874015748031496 732 0.21859304439100327 44.0 0
0-75 0 0.0 450 0 9.0 0
0-78 0 0.0 102 0 8.0 0
0-79 0 0.0 24 0 1.0 0
0-80 0 0.0 564 0 5.0 0
0-81 0 0.0 234 0 14.0 0
0-82 0 0.0 432 0 17.0 0
0-83 0 0.0 1002 0 20.0 0
0-84 0 0.0 168 0 1.0 0
0-85 0 0.0 420 0 20.0 0
0-86 1 0.01098901098901099 516 0.21859304439100327 26.0 0
0-87 1 0.008333333333333333 690 0.21859304439100327 35.0 0
0-88 0 0.0 318 0 6.0 0
0-89 0 0.0 66 0 1.0 0
0-90 0 0.0 918 0 40.0 0
0-91 0 0.0 24 0 1.0 0
0-92 0 0.0 924 0 28.0 0
0-93 0 0.0 528 0 11.0 0
0-94 0 0.0 396 0 16.0 0
0-96 0 0.0 858 0 32.0 0
0-97 0 0.0 150 0 3.0 0
0-99 1 0.030303030303030304 168 0.21859304439100327 22.0 0
0-100 0 0.0 540 0 28.0 0
0-102 0 0.0 300 0 4.0 0
0-103 1 0.011494252873563218 492 0.21859304439100327 27.0 0
0-104 1 0.007936507936507936 726 0.21859304439100327 68.0 0
0-106 0 0.0 156 0 11.0 0
0-108 1 0.008064516129032258 714 0.21859304439100327 82.0 0
0-110 0 0.0 1032 0 18.0 0
0-112 1 0.006993006993006993 828 0.21859304439100327 60.0 0
0-113 1 0.010869565217391304 522 0.21859304439100327 18.0 0
0-115 0 0.0 12 0 1.0 0
0-116 0 0.0 594 0 11.0 0
0-117 0 0.0 522 0 24.0 0
0-119 0 0.0 1116 0 26.0 0
0-120 0 0.0 840 0 14.0 0
0-121 0 0.0 822 0 12.0 0
0-124 1 0.023809523809523808 222 0.21859304439100327 27.0 0
0-126 0 0.0 558 0 7.0 0
0-127 0 0.0 546 0 33.0 0
0-129 0 0.0 84 0 2.0 0
0-130 0 0.0 162 0 20.0 0
0-131 0 0.0 564 0 22.0 0
0-139 0 0.0 186 0 1.0 0
0-141 0 0.0 576 0 10.0 0
0-142 0 0.0 378 0 15.0 0
0-143 0 0.0 90 0 2.0 0
0-144 0 0.0 102 0 3.0 0
0-145 0 0.0 264 0 2.0 0
0-149 0 0.0 1176 0 17.0 0
0-150 0 0.0 132 0 2.0 0
0-151 0 0.0 474 0 8.0 0
0-152 0 0.0 168 0 2.0 0
0-155 0 0.0 102 0 4.0 0
0-156 0 0.0 270 0 4.0 0
0-157 0 0.0 348 0 16.0 0
0-160 0 0.0 1164 0 21.0 0
0-163 1 0.02702702702702703 192 0.21859304439100327 29.0 0
0-164 0 0.0 126 0 3.0 0
0-169 0 0.0 420 0 36.0 0
0-170 0 0.0 1386 0 24.0 0
0-171 0 0.0 324 0 8.0 0
0-172 0 0.0 594 0 18.0 0
0-173 0 0.0 90 0 1.0 0
0-175 0 0.0 354 0 12.0 0
0-178 1 0.013888888888888888 402 0.21859304439100327 21.0 0
0-179 0 0.0 540 0 14.0 0
0-182 0 0.0 174 0 2.0 0
0-185 0 0.0 42 0 1.0 0
0-186 0 0.0 420 0 3.0 0
0-187 1 0.012048192771084338 468 0.21859304439100327 38.0 0
0-188 0 0.0 276 0 2.0 0
0-189 0 0.0 480 0 13.0 0
0-193 1 0.008064516129032258 714 0.21859304439100327 30.0 0
0-194 0 0.0 96 0 1.0 0
0-196 0 0.0 522 0 14.0 0
0-197 0 0.0 120 0 9.0 0
0-200 0 0.0 276 0 14.0 0
0-201 1 0.016666666666666666 330 0.21859304439100327 27.0 0
0-203 0 0.0 624 0 7.0 0
0-207 0 0.0 252 0 3.0 0
0-212 0 0.0 330 0 7.0 0
0-216 3 0.42857142857142855 24 1.4499163026461572 14.0 0
0-217 0 0.0 282 0 3.0 0
0-219 0 0.0 120 0 2.0 0
0-221 0 0.0 180 0 3.0 0
0-222 0 0.0 66 0 1.0 0
0-226 0 0.0 330 0 4.0 0
0-227 0 0.0 678 0 7.0 0
0-228 0 0.0 228 0 3.0 0
0-231 0 0.0 660 0 14.0 0
0-232 0 0.0 528 0 22.0 0
0-233 0 0.0 150 0 5.0 0
0-236 0 0.0 612 0 20.0 0
