pair common_neigh jaccard pref_attach adamic sp_3 class
1-23 1 0.038461538461538464 92 0.20038343021591398 22.0 0
1-24 1 0.034482758620689655 161 0.20038343021591398 1.0 0
1-25 1 0.037037037037037035 115 0.20038343021591398 17.0 0
1-26 1 0.023809523809523808 460 0.20038343021591398 20.0 0
1-27 1 0.03333333333333333 184 0.20038343021591398 23.0 0
1-28 1 0.006097560975609756 3266 0.20038343021591398 41.0 0
1-29 1 0.043478260869565216 23 0.20038343021591398 1.0 0
1-30 1 0.043478260869565216 23 0.20038343021591398 1.0 0
1-31 1 0.043478260869565216 23 0.20038343021591398 1.0 0
1-32 1 0.023255813953488372 483 0.20038343021591398 59.0 0
1-33 1 0.0018050541516245488 12236 0.20038343021591398 28.0 0
1-34 1 0.014285714285714285 1104 0.20038343021591398 75.0 0
1-35 1 0.019230769230769232 690 0.20038343021591398 35.0 0
1-36 1 0.043478260869565216 23 0.20038343021591398 1.0 0
1-37 1 0.009174311926605505 2001 0.20038343021591398 181.0 0
1-38 1 0.038461538461538464 92 0.20038343021591398 9.0 0
1-39 1 0.037037037037037035 115 0.20038343021591398 15.0 0
1-40 2 0.045454545454545456 529 0.4382129436952718 49.0 0
1-41 1 0.017543859649122806 805 0.20038343021591398 51.0 0
1-42 1 0.017857142857142856 782 0.20038343021591398 44.0 0
1-43 1 0.01818181818181818 759 0.20038343021591398 35.0 0
1-44 2 0.05405405405405406 368 0.42207067153994493 38.0 0
1-45 3 0.006993006993006993 9407 0.6074746489940958 194.0 0
1-46 1 0.043478260869565216 23 0.20038343021591398 1.0 0
1-47 3 0.0410958904109589 1219 0.689200483212344 120.0 0
1-48 1 0.03571428571428571 138 0.20038343021591398 28.0 0
1-49 1 0.01282051282051282 1288 0.20038343021591398 18.0 0
1-50 1 0.043478260869565216 23 0.20038343021591398 1.0 0
1-51 1 0.041666666666666664 46 0.20038343021591398 1.0 0
1-52 1 0.011904761904761904 1426 0.20038343021591398 123.0 0
1-53 1 0.04 69 0.20038343021591398 7.0 0
1-54 1 0.043478260869565216 23 0.20038343021591398 1.0 0
1-55 1 0.0196078431372549 667 0.20038343021591398 59.0 0
1-56 1 0.03225806451612903 207 0.20038343021591398 8.0 0
1-57 1 0.038461538461538464 92 0.20038343021591398 12.0 0
1-58 1 0.025 414 0.20038343021591398 30.0 0
1-59 3 0.01775147928994083 3427 0.7043343202565457 164.0 0
1-60 1 0.009009009009009009 2047 0.20038343021591398 53.0 0
1-61 2 0.024691358024691357 1380 0.4131276440365833 142.0 0
1-62 1 0.041666666666666664 46 0.20038343021591398 1.0 0
1-63 3 0.061224489795918366 667 0.7004453881141897 57.0 0
1-64 1 0.043478260869565216 23 0.20038343021591398 1.0 0
1-65 1 0.043478260869565216 23 0.20038343021591398 1.0 0
1-66 1 0.041666666666666664 46 0.20038343021591398 2.0 0
1-67 1 0.034482758620689655 161 0.20038343021591398 19.0 0
1-68 2 0.024691358024691357 1380 0.3857874076700648 46.0 0
1-69 1 0.043478260869565216 23 0.20038343021591398 1.0 0
1-70 1 0.022222222222222223 529 0.20038343021591398 34.0 0
1-71 1 0.04 69 0.20038343021591398 10.0 0
1-72 3 0.009404388714733543 6877 0.6607538236309753 157.0 0
1-73 1 0.025 414 0.20038343021591398 32.0 0
1-74 2 0.06666666666666667 207 0.4131276440365833 20.0 0
1-75 1 0.043478260869565216 23 0.20038343021591398 1.0 0
1-76 1 0.006024096385542169 3312 0.20038343021591398 48.0 0
1-77 2 0.06451612903225806 230 0.3857874076700648 15.0 0
1-78 5 0.031446540880503145 3243 1.1931513732529757 219.0 0
1-79 1 0.041666666666666664 46 0.20038343021591398 1.0 0
1-80 1 0.041666666666666664 46 0.20038343021591398 6.0 0
1-81 1 0.034482758620689655 161 0.20038343021591398 11.0 0
1-82 1 0.043478260869565216 23 0.20038343021591398 1.0 0
1-83 2 0.008968609865470852 4646 0.4131276440365833 178.0 0
1-84 1 0.04 69 0.20038343021591398 6.0 0
1-85 1 0.030303030303030304 253 0.20038343021591398 27.0 0
1-86 1 0.043478260869565216 23 0.20038343021591398 1.0 0
1-87 1 0.043478260869565216 23 0.20038343021591398 1.0 0
1-88 1 0.041666666666666664 46 0.20038343021591398 1.0 0
1-89 1 0.043478260869565216 23 0.20038343021591398 1.0 0
1-90 2 0.07407407407407407 138 0.42207067153994493 14.0 0
1-91 2 0.01098901098901099 3703 0.3857874076700648 257.0 0
1-92 1 0.043478260869565216 23 0.20038343021591398 1.0 0
1-93 1 0.043478260869565216 23 0.20038343021591398 1.0 0
1-94 1 0.009523809523809525 1909 0.20038343021591398 136.0 0
1-95 1 0.030303030303030304 253 0.20038343021591398 12.0 0
1-96 1 0.04 69 0.20038343021591398 8.0 0
1-97 1 0.016666666666666666 874 0.20038343021591398 21.0 0
1-98 1 0.037037037037037035 115 0.20038343021591398 1.0 0
1-99 2 0.08 92 0.42207067153994493 9.0 0
1-100 2 0.03508771929824561 828 0.3857874076700648 30.0 0
1-101 1 0.011235955056179775 1541 0.20038343021591398 14.0 0
1-102 1 0.043478260869565216 23 0.20038343021591398 1.0 0
1-103 1 0.043478260869565216 23 0.20038343021591398 1.0 0
1-104 3 0.011764705882352941 5405 0.6074746489940958 216.0 0
1-105 1 0.03571428571428571 138 0.20038343021591398 17.0 0
1-106 7 0.011345218800648298 13823 1.6786070663267256 459.0 0
1-107 2 0.030303030303030304 1035 0.4382129436952718 22.0 0
1-108 2 0.08333333333333333 69 0.4131276440365833 10.0 0
1-109 1 0.043478260869565216 23 0.20038343021591398 1.0 0
1-110 1 0.041666666666666664 46 0.20038343021591398 1.0 0
1-111 1 0.043478260869565216 23 0.20038343021591398 1.0 0
1-112 1 0.043478260869565216 23 0.20038343021591398 1.0 0
1-113 1 0.038461538461538464 92 0.20038343021591398 8.0 0
1-114 2 0.015873015873015872 2415 0.3857874076700648 202.0 0
1-115 3 0.07894736842105263 414 0.6244705597610952 28.0 0
1-116 1 0.041666666666666664 46 0.20038343021591398 2.0 0
1-117 4 0.05263157894736842 1311 0.8461578010851262 90.0 0
1-118 1 0.041666666666666664 46 0.20038343021591398 1.0 0
1-119 1 0.037037037037037035 115 0.20038343021591398 19.0 0
1-120 1 0.043478260869565216 23 0.20038343021591398 1.0 0
1-121 3 0.08571428571428572 345 0.5985316214907341 42.0 0
1-122 1 0.043478260869565216 23 0.20038343021591398 1.0 0
1-123 1 0.041666666666666664 46 0.20038343021591398 1.0 0
1-124 1 0.0018050541516245488 12236 0.20038343021591398 139.0 0
1-125 1 0.037037037037037035 115 0.20038343021591398 18.0 0
1-126 2 0.03773584905660377 736 0.4382129436952718 41.0 0
1-127 1 0.043478260869565216 23 0.20038343021591398 1.0 0
1-128 1 0.043478260869565216 23 0.20038343021591398 1.0 0
1-129 1 0.03571428571428571 138 0.20038343021591398 12.0 0
1-130 2 0.04878048780487805 460 0.4131276440365833 37.0 0
1-131 2 0.08 92 0.4131276440365833 16.0 0
1-132 1 0.043478260869565216 23 0.20038343021591398 1.0 0
1-133 1 0.038461538461538464 92 0.20038343021591398 10.0 0
1-134 2 0.03636363636363636 782 0.4382129436952718 68.0 0
1-135 1 0.030303030303030304 253 0.20038343021591398 25.0 0
1-136 0 0.0 23 0 3.0 0
1-137 0 0.0 23 0 3.0 0
1-138 0 0.0 92 0 7.0 0
1-139 0 0.0 276 0 26.0 0
1-140 1 0.004545454545454545 4554 0.1854039774541508 108.0 0
1-141 1 0.0196078431372549 667 0.22168724132403095 82.0 0
1-142 3 0.04411764705882353 1104 0.6198354325988511 122.0 0
1-143 0 0.0 299 0 42.0 0
1-144 0 0.0 23 0 3.0 0
1-145 0 0.0 23 0 3.0 0
1-146 1 0.022222222222222223 529 0.22168724132403095 51.0 0
1-147 0 0.0 184 0 26.0 0
1-148 0 0.0 46 0 6.0 0
1-149 0 0.0 46 0 6.0 0
1-150 0 0.0 207 0 28.0 0
1-151 0 0.0 230 0 24.0 0
1-152 0 0.0 69 0 8.0 0
1-153 1 0.03333333333333333 184 0.22168724132403095 24.0 0
1-154 2 0.02666666666666667 1242 0.39814819127482015 127.0 0
1-155 0 0.0 391 0 25.0 0
1-156 1 0.008771929824561403 2116 0.21274421382066935 207.0 0
1-157 0 0.0 184 0 12.0 0
1-158 0 0.0 69 0 10.0 0
1-159 0 0.0 1104 0 72.0 0
1-160 0 0.0 23 0 3.0 0
1-161 0 0.0 552 0 52.0 0
1-162 0 0.0 69 0 10.0 0
1-163 0 0.0 23 0 3.0 0
1-164 0 0.0 46 0 7.0 0
1-165 2 0.027777777777777776 1173 0.5000619578982757 144.0 0
1-166 0 0.0 23 0 3.0 0
1-167 0 0.0 23 0 3.0 0
1-168 0 0.0 989 0 57.0 0
1-169 0 0.0 23 0 3.0 0
1-170 0 0.0 391 0 35.0 0
1-171 0 0.0 92 0 5.0 0
1-172 0 0.0 23 0 3.0 0
1-173 0 0.0 230 0 24.0 0
1-174 0 0.0 184 0 33.0 0
1-175 0 0.0 414 0 53.0 0
1-176 0 0.0 23 0 3.0 0
1-177 0 0.0 115 0 19.0 0
1-178 0 0.0 46 0 7.0 0
1-179 1 0.019230769230769232 690 0.20038343021591398 81.0 0
1-180 0 0.0 552 0 56.0 0
1-181 0 0.0 161 0 22.0 0
1-182 0 0.0 23 0 3.0 0
1-183 1 0.03225806451612903 207 0.1854039774541508 28.0 0
1-184 0 0.0 230 0 31.0 0
1-185 0 0.0 46 0 5.0 0
1-186 0 0.0 92 0 7.0 0
1-187 0 0.0 391 0 44.0 0
1-188 0 0.0 391 0 40.0 0
1-189 0 0.0 46 0 6.0 0
1-190 0 0.0 23 0 3.0 0
1-191 0 0.0 23 0 3.0 0
1-192 0 0.0 46 0 4.0 0
1-193 0 0.0 322 0 41.0 0
1-194 0 0.0 23 0 3.0 0
1-195 2 0.018518518518518517 2001 0.39814819127482015 182.0 0
1-196 0 0.0 23 0 3.0 0
1-197 1 0.006369426751592357 3105 0.31465798044412485 213.0 0
1-198 0 0.0 23 0 3.0 0
1-199 0 0.0 92 0 9.0 0
1-200 0 0.0 46 0 7.0 0
1-201 0 0.0 207 0 26.0 0
1-202 0 0.0 345 0 53.0 0
1-203 0 0.0 506 0 52.0 0
1-204 1 0.012048192771084338 1403 0.1854039774541508 125.0 0
1-205 0 0.0 69 0 5.0 0
1-206 0 0.0 23 0 3.0 0
1-207 1 0.012345679012345678 1357 0.21274421382066935 108.0 0
1-208 1 0.014285714285714285 1104 0.21274421382066935 131.0 0
1-209 0 0.0 391 0 34.0 0
1-210 4 0.011594202898550725 7498 0.8202188628147651 424.0 0
1-211 0 0.0 23 0 3.0 0
1-212 0 0.0 92 0 21.0 0
1-213 1 0.01639344262295082 897 0.1854039774541508 84.0 0
1-214 0 0.0 713 0 44.0 0
1-215 0 0.0 23 0 3.0 0
1-216 0 0.0 161 0 26.0 0
1-217 0 0.0 598 0 37.0 0
1-218 0 0.0 46 0 6.0 0
1-219 0 0.0 46 0 7.0 0
1-220 1 0.017543859649122806 805 0.21274421382066935 103.0 0
1-221 0 0.0 138 0 17.0 0
1-222 0 0.0 437 0 52.0 0
1-223 0 0.0 115 0 10.0 0
1-224 0 0.0 138 0 16.0 0
1-225 1 0.015873015873015872 943 0.1854039774541508 87.0 0
1-226 0 0.0 230 0 22.0 0
1-227 0 0.0 115 0 9.0 0
1-228 0 0.0 529 0 75.0 0
1-229 0 0.0 184 0 7.0 0
1-230 1 0.019230769230769232 690 0.21274421382066935 71.0 0
1-231 0 0.0 138 0 27.0 0
1-232 0 0.0 23 0 3.0 0
1-233 0 0.0 92 0 4.0 0
