pair common_neigh jaccard pref_attach adamic sp_3 class
1-2 1 0.011235955056179775 1541 0.1854039774541508 213.0 1
1-3 0 0.0 23 0 23.0 1
1-4 2 0.008298755186721992 5060 0.5524874939234827 471.0 1
1-5 0 0.0 3887 0 218.0 1
1-6 0 0.0 23 0 23.0 1
1-7 0 0.0 23 0 23.0 1
1-8 0 0.0 23 0 23.0 1
1-9 0 0.0 23 0 23.0 1
1-10 0 0.0 23 0 23.0 1
1-11 1 0.021739130434782608 552 0.1854039774541508 92.0 1
1-12 0 0.0 23 0 23.0 1
1-13 0 0.0 1518 0 188.0 1
1-14 0 0.0 322 0 63.0 1
1-15 0 0.0 621 0 130.0 1
1-16 0 0.0 184 0 45.0 1
1-17 0 0.0 23 0 23.0 1
1-18 0 0.0 3381 0 276.0 1
1-19 0 0.0 368 0 47.0 1
1-20 0 0.0 23 0 23.0 1
1-21 0 0.0 69 0 34.0 1
1-22 0 0.0 2530 0 258.0 1
1-376 0 0.0 2093 0 248.0 1
1-1219 0 0.0 713 0 112.0 1
2-1 1 0.011235955056179775 1541 0.1854039774541508 213.0 1
2-4 34 0.13438735177865613 14740 7.333943083896208 2539.0 1
2-40 6 0.07142857142857142 1541 1.1404715992549403 491.0 1
2-106 35 0.05529225908372828 40267 7.80316704801248 4941.0 1
2-107 2 0.01818181818181818 3015 0.3448459752351276 291.0 1
2-126 7 0.07608695652173914 2144 1.6208420412577842 408.0 1
2-134 7 0.07446808510638298 2278 1.2757338307731327 606.0 1
2-242 7 0.06930693069306931 2747 1.4924882691107548 706.0 1
2-247 2 0.024691358024691357 1072 0.33260424024845753 385.0 1
2-276 9 0.0743801652892562 4221 1.8173407388335112 1001.0 1
2-291 14 0.10071942446043165 5762 2.7644199706736177 1470.0 1
2-341 19 0.05621301775147929 19430 4.136728950312541 3150.0 1
2-363 55 0.06084070796460177 59764 13.37624848758099 5927.0 1
2-365 13 0.09848484848484848 5226 2.722149693768076 1331.0 1
2-367 23 0.12568306010928962 9313 5.071773607417602 1961.0 1
2-404 31 0.1054421768707483 17286 6.879572914612405 3069.0 1
2-446 28 0.2153846153846154 6097 6.012238328433698 1354.0 1
2-455 36 0.1791044776119403 11390 7.785997878036025 2585.0 1
2-480 17 0.04985337243401759 19497 3.5718200090541785 3197.0 1
2-495 13 0.13 3082 2.5991279799553033 867.0 1
2-514 22 0.11764705882352941 9514 4.802368171028938 1960.0 1
2-534 4 0.045454545454545456 1675 0.866081088517199 548.0 1
2-688 15 0.075 9916 3.134903917576227 2048.0 1
2-718 17 0.10493827160493827 7504 3.5216486148619026 1786.0 1
2-723 16 0.06477732793522267 13132 3.4911227031152086 2571.0 1
