pair common_neigh jaccard pref_attach adamic sp_3 class
2-735 0 0.0 67 0 0.0 0
2-789 0 0.0 67 0 0.0 0
2-1123 0 0.0 67 0 0.0 0
2-1124 0 0.0 134 0 0.0 0
2-1126 0 0.0 134 0 0.0 0
2-1127 0 0.0 67 0 0.0 0
2-1158 0 0.0 67 0 0.0 0
2-1163 0 0.0 67 0 0.0 0
2-1167 0 0.0 67 0 0.0 0
2-1171 0 0.0 67 0 0.0 0
2-1174 0 0.0 67 0 0.0 0
2-1175 0 0.0 67 0 0.0 0
2-1287 0 0.0 67 0 0.0 0
2-1288 0 0.0 67 0 0.0 0
2-1289 0 0.0 67 0 0.0 0
2-1766 0 0.0 67 0 0.0 0
2-1767 0 0.0 67 0 0.0 0
2-1769 0 0.0 67 0 0.0 0
2-1770 0 0.0 67 0 0.0 0
2-1772 0 0.0 67 0 0.0 0
2-1773 0 0.0 67 0 0.0 0
2-1777 0 0.0 67 0 0.0 0
2-2803 0 0.0 67 0 0.0 0
3-136 0 0.0 1 0 0.0 0
3-137 0 0.0 1 0 0.0 0
3-138 0 0.0 4 0 0.0 0
3-139 0 0.0 12 0 0.0 0
3-143 0 0.0 13 0 0.0 0
3-144 0 0.0 1 0 0.0 0
3-145 0 0.0 1 0 0.0 0
3-147 0 0.0 8 0 0.0 0
3-148 0 0.0 2 0 0.0 0
3-149 0 0.0 2 0 0.0 0
3-150 0 0.0 9 0 0.0 0
3-151 0 0.0 10 0 0.0 0
3-152 0 0.0 3 0 0.0 0
3-155 0 0.0 17 0 0.0 0
3-157 0 0.0 8 0 0.0 0
3-158 0 0.0 3 0 0.0 0
3-159 0 0.0 48 0 0.0 0
3-160 0 0.0 1 0 0.0 0
3-161 0 0.0 24 0 0.0 0
3-162 0 0.0 3 0 0.0 0
3-163 0 0.0 1 0 0.0 0
3-164 0 0.0 2 0 0.0 0
3-166 0 0.0 1 0 0.0 0
3-167 0 0.0 1 0 0.0 0
3-168 0 0.0 43 0 0.0 0
3-169 0 0.0 1 0 0.0 0
3-170 0 0.0 17 0 0.0 0
3-171 0 0.0 4 0 0.0 0
3-172 0 0.0 1 0 0.0 0
3-173 0 0.0 10 0 0.0 0
3-174 0 0.0 8 0 0.0 0
3-175 0 0.0 18 0 0.0 0
3-176 0 0.0 1 0 0.0 0
3-177 0 0.0 5 0 0.0 0
3-178 0 0.0 2 0 0.0 0
3-180 0 0.0 24 0 0.0 0
3-181 0 0.0 7 0 0.0 0
3-182 0 0.0 1 0 0.0 0
3-184 0 0.0 10 0 0.0 0
3-185 0 0.0 2 0 0.0 0
3-186 0 0.0 4 0 0.0 0
3-187 0 0.0 17 0 0.0 0
3-188 0 0.0 17 0 0.0 0
3-189 0 0.0 2 0 0.0 0
3-190 0 0.0 1 0 0.0 0
3-191 0 0.0 1 0 0.0 0
3-192 0 0.0 2 0 0.0 0
3-193 0 0.0 14 0 0.0 0
3-194 0 0.0 1 0 0.0 0
3-196 0 0.0 1 0 0.0 0
3-198 0 0.0 1 0 0.0 0
3-199 0 0.0 4 0 0.0 0
3-200 0 0.0 2 0 0.0 0
3-201 0 0.0 9 0 0.0 0
3-202 0 0.0 15 0 0.0 0
3-203 0 0.0 22 0 0.0 0
3-205 0 0.0 3 0 0.0 0
3-206 0 0.0 1 0 0.0 0
3-209 0 0.0 17 0 0.0 0
3-211 0 0.0 1 0 0.0 0
3-212 0 0.0 4 0 0.0 0
3-214 0 0.0 31 0 0.0 0
3-215 0 0.0 1 0 0.0 0
3-216 0 0.0 7 0 0.0 0
3-217 0 0.0 26 0 0.0 0
3-218 0 0.0 2 0 0.0 0
3-219 0 0.0 2 0 0.0 0
3-221 0 0.0 6 0 0.0 0
3-222 0 0.0 19 0 0.0 0
3-223 0 0.0 5 0 0.0 0
3-224 0 0.0 6 0 0.0 0
3-226 0 0.0 10 0 0.0 0
3-227 0 0.0 5 0 0.0 0
3-228 0 0.0 23 0 0.0 0
3-229 0 0.0 8 0 0.0 0
3-231 0 0.0 6 0 0.0 0
3-232 0 0.0 1 0 0.0 0
3-233 0 0.0 4 0 0.0 0
3-234 0 0.0 54 0 0.0 0
3-235 0 0.0 5 0 0.0 0
3-236 0 0.0 2 0 0.0 0
3-237 0 0.0 1 0 0.0 0
3-238 0 0.0 2 0 0.0 0
3-239 0 0.0 3 0 0.0 0
3-240 0 0.0 15 0 0.0 0
3-241 0 0.0 1 0 0.0 0
3-243 0 0.0 1 0 0.0 0
3-244 0 0.0 4 0 0.0 0
3-246 0 0.0 1 0 0.0 0
3-248 0 0.0 30 0 0.0 0
3-250 0 0.0 5 0 0.0 0
3-251 0 0.0 1 0 0.0 0
3-252 0 0.0 1 0 0.0 0
3-253 0 0.0 2 0 0.0 0
3-254 0 0.0 3 0 0.0 0
3-255 0 0.0 23 0 0.0 0
3-256 0 0.0 11 0 0.0 0
3-257 0 0.0 14 0 0.0 0
3-258 0 0.0 2 0 0.0 0
3-259 0 0.0 10 0 0.0 0
3-260 0 0.0 36 0 0.0 0
3-261 0 0.0 1 0 0.0 0
3-262 0 0.0 3 0 0.0 0
3-263 0 0.0 1 0 0.0 0
3-264 0 0.0 1 0 0.0 0
3-265 0 0.0 5 0 0.0 0
3-266 0 0.0 12 0 0.0 0
3-267 0 0.0 50 0 0.0 0
3-268 0 0.0 1 0 0.0 0
3-270 0 0.0 1 0 0.0 0
3-272 0 0.0 15 0 0.0 0
3-273 0 0.0 9 0 0.0 0
3-274 0 0.0 8 0 0.0 0
3-275 0 0.0 39 0 0.0 0
3-277 0 0.0 4 0 0.0 0
3-278 0 0.0 13 0 0.0 0
3-279 0 0.0 25 0 0.0 0
3-280 0 0.0 14 0 0.0 0
3-281 0 0.0 1 0 0.0 0
3-282 0 0.0 4 0 0.0 0
3-283 0 0.0 4 0 0.0 0
3-284 0 0.0 17 0 0.0 0
3-285 0 0.0 1 0 0.0 0
3-286 0 0.0 7 0 0.0 0
3-287 0 0.0 7 0 0.0 0
3-288 0 0.0 6 0 0.0 0
3-289 0 0.0 23 0 0.0 0
3-290 0 0.0 1 0 0.0 0
3-292 0 0.0 2 0 0.0 0
3-293 0 0.0 21 0 0.0 0
3-294 0 0.0 5 0 0.0 0
3-295 0 0.0 1 0 0.0 0
3-296 0 0.0 14 0 0.0 0
3-298 0 0.0 12 0 0.0 0
3-299 0 0.0 5 0 0.0 0
3-300 0 0.0 5 0 0.0 0
3-301 0 0.0 6 0 0.0 0
3-302 0 0.0 40 0 0.0 0
3-303 0 0.0 1 0 0.0 0
3-305 0 0.0 34 0 0.0 0
3-307 0 0.0 11 0 0.0 0
3-308 0 0.0 4 0 0.0 0
3-309 0 0.0 2 0 0.0 0
3-310 0 0.0 4 0 0.0 0
3-312 0 0.0 102 0 0.0 0
3-315 0 0.0 22 0 0.0 0
3-316 0 0.0 3 0 0.0 0
3-317 0 0.0 36 0 0.0 0
3-318 0 0.0 43 0 0.0 0
3-319 0 0.0 8 0 0.0 0
3-320 0 0.0 3 0 0.0 0
3-321 0 0.0 2 0 0.0 0
3-323 0 0.0 3 0 0.0 0
3-324 0 0.0 3 0 0.0 0
3-325 0 0.0 5 0 0.0 0
3-326 0 0.0 10 0 0.0 0
3-327 0 0.0 5 0 0.0 0
3-328 0 0.0 14 0 0.0 0
3-329 0 0.0 14 0 0.0 0
3-330 0 0.0 2 0 0.0 0
3-331 0 0.0 51 0 0.0 0
3-333 0 0.0 12 0 0.0 0
3-334 0 0.0 1 0 0.0 0
3-335 0 0.0 1 0 0.0 0
3-336 0 0.0 18 0 0.0 0
3-339 0 0.0 10 0 0.0 0
3-340 0 0.0 3 0 0.0 0
3-342 0 0.0 1 0 0.0 0
3-343 0 0.0 1 0 0.0 0
3-344 0 0.0 1 0 0.0 0
3-345 0 0.0 3 0 0.0 0
3-346 0 0.0 2 0 0.0 0
3-348 0 0.0 7 0 0.0 0
3-350 0 0.0 2 0 0.0 0
3-351 0 0.0 48 0 0.0 0
3-352 0 0.0 28 0 0.0 0
3-353 0 0.0 2 0 0.0 0
