pair common_neigh jaccard pref_attach adamic sp_3 class
3009-3081 0 0.0 48 0 1.0 0
3009-3100 0 0.0 136 0 2.0 0
3009-3102 0 0.0 36 0 1.0 0
3009-3113 2 0.25 24 1.897814654202382 2.0 0
3009-3140 0 0.0 28 0 1.0 0
3009-3179 0 0.0 12 0 1.0 0
3009-3194 0 0.0 48 0 4.0 0
3009-3209 0 0.0 16 0 1.0 0
3009-3211 0 0.0 4 0 2.0 0
3009-3218 0 0.0 56 0 1.0 0
3009-3221 0 0.0 40 0 3.0 0
3009-3222 0 0.0 68 0 5.0 0
3009-3226 1 0.14285714285714285 16 0.6213349345596119 2.0 0
3009-3228 1 0.07692307692307693 40 0.45511961331341866 1.0 0
3009-3230 0 0.0 28 0 5.0 0
3009-3232 0 0.0 32 0 1.0 0
3009-3238 0 0.0 8 0 1.0 0
3009-3266 1 0.25 4 0.45511961331341866 1.0 0
3009-3341 0 0.0 4 0 1.0 0
3009-3359 0 0.0 8 0 1.0 0
3009-3361 0 0.0 12 0 1.0 0
3009-3364 1 0.25 4 0.45511961331341866 1.0 0
3009-3371 0 0.0 8 0 1.0 0
3009-3372 0 0.0 12 0 1.0 0
3009-3376 0 0.0 28 0 1.0 0
3009-3378 0 0.0 16 0 1.0 0
3009-3409 0 0.0 36 0 1.0 0
3009-3413 1 0.07692307692307693 40 0.45511961331341866 3.0 0
3009-3414 0 0.0 36 0 2.0 0
3009-3426 1 0.2 8 0.45511961331341866 1.0 0
3009-3428 0 0.0 12 0 1.0 0
3009-3438 0 0.0 4 0 1.0 0
3009-3439 0 0.0 20 0 1.0 0
3009-3440 1 0.16666666666666666 12 0.45511961331341866 1.0 0
3009-3447 1 0.07142857142857142 44 0.6213349345596119 4.0 0
3009-3458 1 0.058823529411764705 56 0.6213349345596119 3.0 0
3009-3462 0 0.0 8 0 1.0 0
3009-3478 1 0.07692307692307693 40 0.6213349345596119 3.0 0
3009-3483 0 0.0 60 0 1.0 0
3009-3485 0 0.0 4 0 1.0 0
3009-3492 0 0.0 48 0 1.0 0
3009-3498 0 0.0 4 0 1.0 0
3009-3524 0 0.0 184 0 1.0 0
3009-3622 0 0.0 8 0 1.0 0
3009-3683 0 0.0 4 0 1.0 0
3009-3696 0 0.0 68 0 1.0 0
3009-3737 1 0.2 8 0.45511961331341866 1.0 0
3009-3808 0 0.0 24 0 1.0 0
3009-3864 0 0.0 4 0 1.0 0
3009-3870 0 0.0 8 0 1.0 0
3009-3918 0 0.0 4 0 1.0 0
3010-3012 1 0.3333333333333333 3 0.5138983423697507 1.0 0
3010-3067 0 0.0 27 0 1.0 0
3010-3127 0 0.0 9 0 1.0 0
3010-3143 1 0.3333333333333333 3 0.5138983423697507 1.0 0
3010-3153 0 0.0 6 0 1.0 0
3010-3186 0 0.0 6 0 1.0 0
3010-3231 1 0.14285714285714285 15 0.5138983423697507 1.0 0
3010-3372 1 0.2 9 0.9102392266268373 1.0 0
3010-3447 0 0.0 33 0 1.0 0
3010-3448 1 0.3333333333333333 3 0.9102392266268373 1.0 0
3010-3454 0 0.0 3 0 1.0 0
3010-3490 1 0.25 6 0.5138983423697507 1.0 0
3010-3500 1 0.3333333333333333 3 0.5138983423697507 1.0 0
3010-3524 0 0.0 138 0 1.0 0
3010-3538 1 0.125 18 0.5138983423697507 1.0 0
3010-3558 0 0.0 42 0 1.0 0
3010-3732 0 0.0 3 0 1.0 0
3010-3804 0 0.0 48 0 1.0 0
3010-3825 0 0.0 27 0 1.0 0
3010-3953 0 0.0 6 0 1.0 0
3012-3010 1 0.3333333333333333 3 0.5138983423697507 1.0 0
3012-3016 0 0.0 3 0 1.0 0
3012-3067 0 0.0 9 0 1.0 0
3012-3127 0 0.0 3 0 1.0 0
3012-3143 1 1.0 1 0.5138983423697507 1.0 0
3012-3153 0 0.0 2 0 1.0 0
3012-3231 1 0.2 5 0.5138983423697507 1.0 0
3012-3411 0 0.0 1 0 1.0 0
3012-3454 0 0.0 1 0 1.0 0
3012-3490 1 0.5 2 0.5138983423697507 1.0 0
3012-3500 1 1.0 1 0.5138983423697507 1.0 0
3012-3524 0 0.0 46 0 1.0 0
3012-3538 1 0.16666666666666666 6 0.5138983423697507 1.0 0
3012-3558 0 0.0 14 0 1.0 0
3012-3732 0 0.0 1 0 1.0 0
3012-3804 0 0.0 16 0 1.0 0
3012-3825 0 0.0 9 0 1.0 0
3012-3953 0 0.0 2 0 1.0 0
3016-3012 0 0.0 3 0 1.0 0
3016-3143 0 0.0 3 0 1.0 0
3016-3186 1 0.25 6 0.9102392266268373 1.0 0
3016-3209 0 0.0 12 0 1.0 0
3016-3226 0 0.0 12 0 1.0 0
3016-3231 0 0.0 15 0 1.0 0
3016-3411 1 0.3333333333333333 3 0.9102392266268373 1.0 0
3016-3423 0 0.0 15 0 1.0 0
3016-3438 0 0.0 3 0 1.0 0
3016-3447 1 0.07692307692307693 33 0.9102392266268373 1.0 0
3016-3458 0 0.0 42 0 1.0 0
3016-3478 0 0.0 30 0 1.0 0
3016-3490 0 0.0 6 0 1.0 0
3016-3493 0 0.0 3 0 1.0 0
3016-3498 0 0.0 3 0 1.0 0
3016-3500 0 0.0 3 0 1.0 0
3016-3512 1 0.1111111111111111 21 0.9102392266268373 1.0 0
3016-3538 0 0.0 18 0 1.0 0
3016-3622 0 0.0 6 0 1.0 0
3016-3696 0 0.0 51 0 1.0 0
3016-3864 0 0.0 3 0 1.0 0
3018-3019 1 0.14285714285714285 15 0.43429448190325176 8.0 0
3018-3021 0 0.0 10 0 3.0 0
3018-3024 0 0.0 20 0 3.0 0
3018-3025 3 0.3333333333333333 35 1.2766515630260535 14.0 0
3018-3028 2 0.2857142857142857 20 0.7627532206563028 11.0 0
3018-3031 2 0.3333333333333333 15 0.7627532206563028 10.0 0
3018-3032 0 0.0 15 0 2.0 0
3018-3037 0 0.0 5 0 1.0 0
3018-3038 0 0.0 10 0 3.0 0
3018-3039 1 0.2 5 0.7213475204444817 2.0 0
3018-3040 0 0.0 15 0 2.0 0
3018-3047 1 0.08333333333333333 40 0.3284587387530511 6.0 0
3018-3048 1 0.2 5 0.3284587387530511 4.0 0
3018-3053 1 0.1 30 0.3284587387530511 4.0 0
3018-3055 1 0.125 20 0.3284587387530511 8.0 0
3018-3057 1 0.14285714285714285 15 0.3284587387530511 4.0 0
3018-3058 1 0.14285714285714285 15 0.3284587387530511 4.0 0
3018-3062 1 0.125 20 0.9102392266268373 5.0 0
3018-3063 0 0.0 15 0 3.0 0
3018-3064 3 0.42857142857142855 25 1.2766515630260535 12.0 0
3018-3067 2 0.16666666666666666 45 1.0498062591975328 7.0 0
3018-3071 0 0.0 15 0 3.0 0
3018-3074 1 0.16666666666666666 10 0.3284587387530511 4.0 0
3018-3075 2 0.3333333333333333 15 0.9481928242730024 7.0 0
3018-3077 1 0.14285714285714285 15 0.3284587387530511 9.0 0
3018-3078 1 0.125 20 0.5138983423697507 5.0 0
3018-3100 0 0.0 170 0 1.0 0
3018-3102 0 0.0 45 0 1.0 0
3018-3169 0 0.0 40 0 1.0 0
3018-3194 0 0.0 60 0 1.0 0
3018-3198 0 0.0 25 0 1.0 0
3018-3218 0 0.0 70 0 1.0 0
3018-3221 0 0.0 50 0 1.0 0
3018-3222 0 0.0 85 0 1.0 0
3018-3433 0 0.0 60 0 1.0 0
3018-3439 0 0.0 25 0 1.0 0
3018-3479 0 0.0 290 0 1.0 0
3018-3492 0 0.0 60 0 1.0 0
3018-3515 0 0.0 65 0 1.0 0
3018-3524 0 0.0 230 0 4.0 0
3018-3534 1 0.1111111111111111 25 0.3284587387530511 4.0 0
3018-3538 0 0.0 30 0 2.0 0
3018-3539 0 0.0 25 0 1.0 0
3018-3549 0 0.0 15 0 1.0 0
3018-3552 0 0.0 85 0 3.0 0
3018-3558 0 0.0 70 0 1.0 0
3018-3696 0 0.0 85 0 1.0 0
3018-3710 0 0.0 65 0 1.0 0
3018-3728 1 0.07692307692307693 45 0.3284587387530511 4.0 0
3018-3745 0 0.0 50 0 1.0 0
3018-3849 0 0.0 120 0 1.0 0
3018-3900 0 0.0 75 0 1.0 0
3018-3922 0 0.0 15 0 1.0 0
3018-3936 1 0.16666666666666666 10 0.3284587387530511 4.0 0
3018-3949 0 0.0 25 0 1.0 0
3018-3974 0 0.0 50 0 1.0 0
3018-4000 1 0.2 5 0.3284587387530511 4.0 0
3019-3018 1 0.14285714285714285 15 0.43429448190325176 8.0 0
3019-3021 0 0.0 6 0 1.0 0
3019-3024 0 0.0 12 0 1.0 0
3019-3026 2 0.09090909090909091 63 0.9481928242730024 13.0 0
3019-3028 1 0.16666666666666666 12 0.43429448190325176 5.0 0
3019-3029 0 0.0 9 0 4.0 0
3019-3031 1 0.2 9 0.43429448190325176 5.0 0
3019-3038 1 0.25 6 0.5138983423697507 2.0 0
3019-3039 0 0.0 3 0 1.0 0
3019-3040 0 0.0 9 0 2.0 0
3019-3043 3 0.42857142857142855 21 1.6695403447174841 10.0 0
3019-3047 0 0.0 24 0 2.0 0
3019-3048 0 0.0 3 0 2.0 0
3019-3053 0 0.0 18 0 2.0 0
3019-3055 2 0.4 12 1.2352458628142324 5.0 0
3019-3057 0 0.0 9 0 2.0 0
3019-3058 0 0.0 9 0 2.0 0
3019-3062 1 0.16666666666666666 12 0.5138983423697507 2.0 0
3019-3063 1 0.2 9 0.7213475204444817 1.0 0
3019-3064 1 0.14285714285714285 15 0.43429448190325176 7.0 0
3019-3067 0 0.0 27 0 4.0 0
3019-3071 0 0.0 9 0 2.0 0
