pair common_neigh jaccard pref_attach adamic sp_3 class
3009-3191 0 0.0 4 0 4.0 1
3009-3423 0 0.0 20 0 8.0 1
3009-3547 0 0.0 36 0 13.0 1
3009-3958 0 0.0 8 0 6.0 1
3010-3016 0 0.0 9 0 5.0 1
3010-3411 0 0.0 3 0 3.0 1
3010-3512 0 0.0 21 0 9.0 1
3012-3512 0 0.0 7 0 7.0 1
3016-3010 0 0.0 9 0 5.0 1
3016-3372 0 0.0 9 0 5.0 1
3016-3448 0 0.0 3 0 3.0 1
3018-3026 3 0.13043478260869565 105 1.8584320508998398 38.0 1
3018-3029 1 0.14285714285714285 15 0.3284587387530511 10.0 1
3018-3043 2 0.2 35 0.7627532206563028 22.0 1
3018-3065 3 0.25 50 1.5637046015672835 27.0 1
3018-3597 1 0.125 20 0.43429448190325176 12.0 1
3019-3025 1 0.1111111111111111 21 0.43429448190325176 14.0 1
3019-3065 1 0.08333333333333333 30 0.5138983423697507 16.0 1
3019-3078 0 0.0 12 0 9.0 1
3021-3064 0 0.0 10 0 6.0 1
3021-3070 0 0.0 2 0 2.0 1
3024-3038 0 0.0 8 0 5.0 1
3024-3060 0 0.0 8 0 5.0 1
3024-3067 0 0.0 36 0 13.0 1
3024-3074 0 0.0 8 0 6.0 1
3025-3019 1 0.1111111111111111 21 0.43429448190325176 14.0 1
3025-3026 3 0.12 147 1.6695403447174841 40.0 1
3025-3038 0 0.0 14 0 8.0 1
3025-3043 2 0.16666666666666666 49 0.7627532206563028 26.0 1
3025-3055 1 0.1 28 0.3284587387530511 15.0 1
3025-3062 0 0.0 28 0 11.0 1
3025-3065 3 0.21428571428571427 70 1.7525963077496391 29.0 1
3026-3018 3 0.13043478260869565 105 1.8584320508998398 38.0 1
3026-3025 3 0.12 147 1.6695403447174841 40.0 1
3026-3028 3 0.13636363636363635 84 2.254772935156926 34.0 1
3026-3029 1 0.043478260869565216 63 0.6213349345596119 27.0 1
3026-3031 2 0.09090909090909091 63 1.1556420023477334 32.0 1
3026-3043 4 0.16666666666666666 147 2.1908626933922264 44.0 1
3026-3047 1 0.03571428571428571 168 0.45511961331341866 29.0 1
3026-3048 0 0.0 21 0 21.0 1
3026-3053 0 0.0 126 0 27.0 1
3026-3055 1 0.041666666666666664 84 0.5138983423697507 29.0 1
3026-3057 0 0.0 63 0 23.0 1
3026-3058 0 0.0 63 0 23.0 1
3026-3064 3 0.13043478260869565 105 1.8584320508998398 37.0 1
3026-3065 6 0.24 210 3.902053300930044 52.0 1
3026-3067 1 0.034482758620689655 189 0.48089834696298783 36.0 1
3026-3074 0 0.0 42 0 23.0 1
3026-3077 2 0.09090909090909091 63 1.3426824550040934 29.0 1
3026-3534 0 0.0 105 0 28.0 1
3026-3728 0 0.0 189 0 31.0 1
3026-3936 0 0.0 42 0 22.0 1
3026-4000 0 0.0 21 0 21.0 1
3028-3026 3 0.13636363636363635 84 2.254772935156926 34.0 1
3028-3031 2 0.4 12 0.7627532206563028 11.0 1
3028-3065 2 0.16666666666666666 40 1.2386979653798884 23.0 1
3028-3077 1 0.16666666666666666 12 0.3284587387530511 11.0 1
3029-3018 1 0.14285714285714285 15 0.3284587387530511 10.0 1
3029-3026 1 0.043478260869565216 63 0.6213349345596119 27.0 1
3029-3062 0 0.0 12 0 7.0 1
3030-3050 0 0.0 1 0 1.0 1
3031-3026 2 0.09090909090909091 63 1.1556420023477334 32.0 1
3031-3028 2 0.4 12 0.7627532206563028 11.0 1
3031-3065 2 0.18181818181818182 30 1.0498062591975328 20.0 1
3032-3067 0 0.0 27 0 11.0 1
3032-3140 0 0.0 21 0 10.0 1
3032-3791 0 0.0 18 0 9.0 1
3035-3956 0 0.0 2 0 2.0 1
3035-3992 0 0.0 2 0 2.0 1
3037-3053 0 0.0 6 0 6.0 1
3038-3024 0 0.0 8 0 5.0 1
3038-3025 0 0.0 14 0 8.0 1
3039-3597 0 0.0 4 0 4.0 1
3040-3049 0 0.0 3 0 3.0 1
3040-3053 0 0.0 18 0 9.0 1
3040-3055 0 0.0 12 0 7.0 1
3043-3018 2 0.2 35 0.7627532206563028 22.0 1
3043-3025 2 0.16666666666666666 49 0.7627532206563028 26.0 1
3043-3026 4 0.16666666666666666 147 2.1908626933922264 44.0 1
3043-3064 2 0.2 35 0.7627532206563028 21.0 1
3043-3065 5 0.4166666666666667 70 2.9952661768688627 32.0 1
3043-3075 1 0.1111111111111111 21 0.43429448190325176 14.0 1
3043-3078 0 0.0 28 0 14.0 1
3046-3102 0 0.0 9 0 9.0 1
3047-3026 1 0.03571428571428571 168 0.45511961331341866 29.0 1
3047-3067 1 0.0625 72 0.3284587387530511 21.0 1
3047-3100 3 0.07692307692307693 272 1.134308909936557 66.0 1
3047-3169 0 0.0 64 0 16.0 1
3047-3218 1 0.047619047619047616 112 0.2835784920513334 32.0 1
3047-3439 1 0.08333333333333333 40 0.40242960438184466 16.0 1
3047-3492 2 0.1111111111111111 96 0.9049134266109453 30.0 1
3047-3696 1 0.041666666666666664 136 0.2835784920513334 44.0 1
3048-3026 0 0.0 21 0 21.0 1
3049-3040 0 0.0 3 0 3.0 1
3050-3030 0 0.0 1 0 1.0 1
3053-3026 0 0.0 126 0 27.0 1
3053-3037 0 0.0 6 0 6.0 1
3053-3040 0 0.0 18 0 9.0 1
3053-3221 0 0.0 60 0 15.0 1
3053-3515 1 0.05555555555555555 78 0.3789231816899512 25.0 1
3053-3558 1 0.05263157894736842 84 0.3898712452512801 26.0 1
3055-3025 1 0.1 28 0.3284587387530511 15.0 1
3055-3026 1 0.041666666666666664 84 0.5138983423697507 29.0 1
3055-3040 0 0.0 12 0 7.0 1
3055-3078 0 0.0 16 0 10.0 1
3057-3026 0 0.0 63 0 23.0 1
3057-3922 0 0.0 9 0 5.0 1
3057-3949 0 0.0 15 0 7.0 1
3058-3026 0 0.0 63 0 23.0 1
3058-3539 0 0.0 15 0 7.0 1
3058-3549 0 0.0 9 0 5.0 1
3060-3024 0 0.0 8 0 5.0 1
3060-3804 0 0.0 32 0 17.0 1
3062-3025 0 0.0 28 0 11.0 1
3062-3029 0 0.0 12 0 7.0 1
3062-3071 0 0.0 12 0 6.0 1
3062-3102 0 0.0 36 0 12.0 1
3063-3067 0 0.0 27 0 11.0 1
3063-3076 0 0.0 6 0 4.0 1
3063-3078 0 0.0 12 0 6.0 1
3064-3021 0 0.0 10 0 6.0 1
3064-3026 3 0.13043478260869565 105 1.8584320508998398 37.0 1
3064-3043 2 0.2 35 0.7627532206563028 21.0 1
3064-3065 2 0.15384615384615385 50 0.8423570811228018 27.0 1
3064-3077 1 0.14285714285714285 15 0.3284587387530511 12.0 1
3065-3018 3 0.25 50 1.5637046015672835 27.0 1
