pair common_neigh jaccard pref_attach adamic sp_3 class
3001-3002 0 0 0 0 0.0 0
3001-3003 0 0 0 0 0.0 0
3001-3004 0 0 0 0 0.0 0
3001-3005 0 0 0 0 0.0 0
3001-3006 0 0 0 0 0.0 0
3001-3007 0 0 0 0 0.0 0
3001-3008 0 0 0 0 0.0 0
3001-3009 0 0.0 0 0 0.0 0
3001-3010 0 0.0 0 0 0.0 0
3001-3011 0 0 0 0 0.0 0
3001-3012 0 0.0 0 0 0.0 0
3001-3013 0 0 0 0 0.0 0
3001-3014 0 0 0 0 0.0 0
3001-3015 0 0 0 0 0.0 0
3001-3016 0 0.0 0 0 0.0 0
3001-3017 0 0 0 0 0.0 0
3001-3018 0 0.0 0 0 0.0 0
3001-3019 0 0.0 0 0 0.0 0
3001-3020 0 0 0 0 0.0 0
3001-3021 0 0.0 0 0 0.0 0
3001-3022 0 0 0 0 0.0 0
3001-3023 0 0 0 0 0.0 0
3001-3024 0 0.0 0 0 0.0 0
3001-3025 0 0.0 0 0 0.0 0
3001-3026 0 0.0 0 0 0.0 0
3001-3027 0 0 0 0 0.0 0
3001-3028 0 0.0 0 0 0.0 0
3001-3029 0 0.0 0 0 0.0 0
3001-3030 0 0.0 0 0 0.0 0
3001-3031 0 0.0 0 0 0.0 0
3001-3032 0 0.0 0 0 0.0 0
3001-3033 0 0 0 0 0.0 0
3001-3034 0 0 0 0 0.0 0
3001-3035 0 0.0 0 0 0.0 0
3001-3036 0 0 0 0 0.0 0
3001-3037 0 0.0 0 0 0.0 0
3001-3038 0 0.0 0 0 0.0 0
3001-3039 0 0.0 0 0 0.0 0
3001-3040 0 0.0 0 0 0.0 0
3001-3041 0 0 0 0 0.0 0
3001-3042 0 0 0 0 0.0 0
3001-3043 0 0.0 0 0 0.0 0
3001-3044 0 0 0 0 0.0 0
3001-3045 0 0 0 0 0.0 0
3001-3046 0 0.0 0 0 0.0 0
3001-3047 0 0.0 0 0 0.0 0
3001-3048 0 0.0 0 0 0.0 0
3001-3049 0 0.0 0 0 0.0 0
3001-3050 0 0.0 0 0 0.0 0
3001-3051 0 0 0 0 0.0 0
3001-3052 0 0 0 0 0.0 0
3001-3053 0 0.0 0 0 0.0 0
3001-3054 0 0 0 0 0.0 0
3001-3055 0 0.0 0 0 0.0 0
3001-3056 0 0 0 0 0.0 0
3001-3057 0 0.0 0 0 0.0 0
3001-3058 0 0.0 0 0 0.0 0
3001-3059 0 0 0 0 0.0 0
3001-3060 0 0.0 0 0 0.0 0
3001-3061 0 0 0 0 0.0 0
3001-3062 0 0.0 0 0 0.0 0
3001-3063 0 0.0 0 0 0.0 0
3001-3064 0 0.0 0 0 0.0 0
3001-3065 0 0.0 0 0 0.0 0
3001-3066 0 0 0 0 0.0 0
3001-3067 0 0.0 0 0 0.0 0
3001-3068 0 0 0 0 0.0 0
3001-3069 0 0 0 0 0.0 0
3001-3070 0 0.0 0 0 0.0 0
3001-3071 0 0.0 0 0 0.0 0
3001-3072 0 0 0 0 0.0 0
3001-3073 0 0 0 0 0.0 0
3001-3074 0 0.0 0 0 0.0 0
3001-3075 0 0.0 0 0 0.0 0
3001-3076 0 0.0 0 0 0.0 0
3001-3077 0 0.0 0 0 0.0 0
3001-3078 0 0.0 0 0 0.0 0
3001-3079 0 0 0 0 0.0 0
3001-3080 0 0 0 0 0.0 0
3001-3081 0 0.0 0 0 0.0 0
3001-3082 0 0 0 0 0.0 0
3001-3083 0 0 0 0 0.0 0
3001-3084 0 0 0 0 0.0 0
3001-3085 0 0 0 0 0.0 0
3001-3086 0 0 0 0 0.0 0
3001-3087 0 0 0 0 0.0 0
3001-3088 0 0.0 0 0 0.0 0
3001-3089 0 0 0 0 0.0 0
3001-3090 0 0 0 0 0.0 0
3001-3091 0 0 0 0 0.0 0
3001-3092 0 0 0 0 0.0 0
3001-3093 0 0 0 0 0.0 0
3001-3094 0 0 0 0 0.0 0
3001-3095 0 0 0 0 0.0 0
3001-3096 0 0 0 0 0.0 0
3001-3097 0 0 0 0 0.0 0
3001-3098 0 0.0 0 0 0.0 0
3001-3099 0 0 0 0 0.0 0
3001-3100 0 0.0 0 0 0.0 0
3001-3101 0 0.0 0 0 0.0 0
3001-3102 0 0.0 0 0 0.0 0
3001-3103 0 0 0 0 0.0 0
3001-3104 0 0 0 0 0.0 0
3001-3105 0 0 0 0 0.0 0
3001-3106 0 0.0 0 0 0.0 0
3001-3107 0 0.0 0 0 0.0 0
3001-3108 0 0 0 0 0.0 0
3001-3109 0 0 0 0 0.0 0
3001-3110 0 0.0 0 0 0.0 0
